,comment,good,bad
0,잘 생겼ㄷr,0,0
1,가면 쓴 캐릭터들은 대부분 잘생기거나 예쁘더라...,0,0
2,오~윤윤 남캐도 여캐도 아닌 중성캐릭 xxy염색체 같은 캐릭이네~,0,0
3,도깨비 미쳤어ㅓㅓㅓㅓㅓㅓㅓㅓ어어어어ㅓ어어어거어ㅓ어어ㅓ엉어ㅓ오오오오오오오오오어어ㅓ어어어어어어거어어어어어어ㅓ어어어어어억어어어ㅓ어어어어어어어ㅓ엉어ㅓ어어ㅓㅇ어ㅓ어엉어어어어ㅓㅇ억!!!!!,0,0
4,윤윤 내 따ㄹ 아니 아들 해줄래,0,0
5,헐.... 도깨비 사랑해... ,0,0
6,유진아... 중국보다 영국 박물관 보냈어야지... 전세계 800만점 이상의 유물이 있는데 마을이 뭐냐 도깨비특별시도 쌉가능...,0,0
7,진지하게 마왕 버전 윤윤 얼굴도 공개해주세요,0,0
8,미친 옆옆동네의 옆동네 고ㅈㅏ 센세 닮았어요,0,0
9,으아악X발존나잘생겼어!,0,0
10,컷 하나 내릴때마다 심장폭격 해대니까 심장이 남아나질 않아요... 작가님,0,0
11,왜 후회하는데 왜ㅠㅠㅠㅠㅠㅠ 나만 걸리냐 저거,0,0
12,짱이다..잘생아 얼굴 좀 더 보여줘..떠나지마 잘생아 ;-;,0,0
13,능력은 모르겠고 미모가 진화함,0,0
14,항상 재밌게 봅니다,0,0
