,comment,good,bad
0,구글에가서 '' 함주빈 8866 '' 쳐봐ㅋㅋ 대박임ㅋㅋ 딸 세번 연속 쌉가능ㅋ,0,0
1,구글에가서 '' 함주빈 8866 '' 쳐봐ㅋㅋ 대박임ㅋㅋ 딸 세번 연속 쌉가능ㅋ,7,1
2,"아... 자고 있어서 상황 모르지? 아무도 말 안 해 줬지? 저대로 끌려 가면 감금, 납치 당한 것 같아서 다른 애들 또 우르르 몰려와서 세성이랑 전쟁하는 거 아님? ㅋㅋㅋㅋㅋㅋㅋㅋ",0,0
3,차 곧 뽑는데 차 박는고 보고 욕나왔네 ,0,0
4,송태원 설마 유진이 L 스킬 있는거 알아본거 아니겠지?,0,7
5,내 감자.. 너무 좋아..,0,0
6,성현제는 예림이랑 같이 학교 보내야할 것 같은데,2,0
7,재밌어서 정주행했어요 ,0,0
8,세성 아저씨가 아니라 '우리 아저씨'달달하구먼..,1,0
9,왜 노려봐? 경계하는건가?,0,0
10,공무원 아저씨 속마음:이익..나로는 부족하다 이거야!?,0,0
11,아니 차 들어가는거ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ덩치도 큰 사람이 왜 작은 차를 타냐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,0
