,comment,good,bad
0,마지막에 훅 들어오네,0,0
1,하ㅜㅠㅠ 진짜 너무 귀엽다 애깅이들아 우리 매일 매일 크리스마스 하자ㅠㅠ,0,0
2,아빠와서 다행이다 서율아^_^,0,0
3,"2월에 크리스마스를 보고 있네이정도면 미리보기가 아니라 
제때보기=쿠키, 뒤늦게보기=무료 아닌가",9,1
4,행복그잡채..평화그잡채...너무귀엽다,0,0
5,서율이 바로 벽시계 확인하는거봐 ㅋㅋㅋㅋㅋ 똑똑해,0,0
6,작가님 제 감동 책임지세요 정말,0,0
7,마음 너무너무 따뜻했다가 동의하지않은눈싸움,1,0
8,마루강아지 유튜브에 움직이는 마루로 나온가 아세요??? 너무 귀여움 ㅠㅠ,0,0
9, 마지막에 음악이나오며 카페 베네,0,0
10,ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
11,서율이 아빠 얼굴 없어서 꿈인줄;; 어 봐버렷네 에서는 살짝 호러 스릴러의 느낌을 받앗.. 나 감성 지성 무슨 일이야,0,1
12,마지막에 눈물 멈춤,0,0
13,아 진짜 눈물 난다.. 서율아 마루야 행복해야해,0,0
