,comment,good,bad
0,유치해,1,0
1,갑자기 울다가 웃고 떡볶이 먹다 끝난다고..? ,2,0
2,내가 보고 듣는게  전부가아님 심지어 남에게 건너듣는다? 안믿어야함,0,3
3,대표님한테 불려갔을 때 서준이 다리 길이 뭐임 희연이 키보다 더 큼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
4,몇일전까지만해도 외전하는것도 봐줄만한데 완결끝난지가 언젠데 아직도하지..?전에는 그래도 외전이야 작가맘이야 상관없지만 두달넘은것같은데..,0,1
5,지가 오해해놓고 사과도 제대로 안하고.... 와이라노,2,1
6,"별점 주기 넘모 어렵., 위에다좀 달아줘",2,1
7,작가가 탈세햇으면...이 플랫폼에서 내려가야 하는 거 아님...?탈세도 범죄인데,17,0
8,가지가지한다,1,0
9,끼리끼리 만난다고 니 남편인가? 아님 새남편도 탈세조사 가즈앗!!ㅋ,14,0
10,네이버 베댓 삭제하는거봐랔ㅋㅋㅋ진짜 대단하다,18,0
11,탈세강림!,30,0
12,아직 연재하냐옹?,10,0
13,맨유 형여기어때,16,0
14,탈세강림,73,1
