,comment,good,bad
0,이작가는 걍 돈에 미친거같음ㅇ,1,0
1,이거 왜 아직도 하냐ㅋㅋㅋ 개노잼인데,0,0
2,후기가 궁금하다,0,0
3,"ㅎㅎㅎ 받아라, 별점 아니 벌점",0,1
4,작가님 사람들 하고 기싸움 하면 안됩니다 그냥 숙이세요 당신 이러다가는 앞으로 웹툰 내는 것 마다 다 별점 테러 당하고 욕만 쳐먹고 다 망합니다 본인 잘못이니 다 감수해야 됩니다 해결책은 튀르키에에 5억  한국에 5 억 이렇게 기부를 하고 언플을 하세요 그리고 1년 정도 자숙하고 복귀하면 됩니다,2,0
5,탈세 일어난  뒤로 댓글창 확확 바뀌네,0,0
6,욕을 먹어야됨 ㄹㅇ로,0,0
7,외전[탈세pe1],0,0
8,탈세용,0,0
9,다음 외전으로 탈세 스토리가죠,5,1
10,스토리 진짜 ㅋㅋㅋ 한서준 몇년동안 임주경 좋아하고 계속 못잊다가 결국 다른 애 좋아하네... 걍 마음 정리하고 일에 몰두하면서 행복해지는 스토리도 좋을텐데 꼭 이었어야됐나 걍 억지같음,0,0
11,홀 돌직구~!,0,0
12,퍽킹...,0,0
13,"""내 인생을 반증해 주는 건 실력뿐인데 정상을 위해서 노력해 본적도 없는 사람들이 짖어대는 말에 왜 마음이 상하는지 모르겠다. 털어도 티끌 하나 안나오는 인생을 살았다 자부하는데 정말 속상하네""",0,0
