,comment,good,bad
0,대사가 좀 유치한 것 같기도 하다...,0,0
1,이제 보니 세이라 눈이 예쁘긴 해,0,0
2,"근데
.. 메데이아가 주인공인 파티에서 이혼공표를하면 분위기가 그쪽으로 갈거같은데 원래저렇게 이혼공표하는건가요",1,0
3,뿌우 하길래 갑자기 방귀낀줄,3,0
4,아미친 뿌우우에서 방귀뀌는 줄..,0,0
5,5시간만에 다봤네...다음화 궁금하다...,1,0
6,뿌우우에서 방구뀌는줄,2,0
7,"이 웹툰을 왜 이제야 알았을까요. 하루만에 정주행했습니다..그랬더니..제가 평소에 보는 웹툰들이 너무 재미가 없습니다... 
어떡하죠..큰일입니다..",1,0
8,헬리는 왜 안온건가요?무슨일 있는건 아니죠?,0,1
9,끼에에엑 핼리짱쿠 어디갔어어어어어,0,1
10,"프시케랑 메디 바뀐거 같음.. 댓보면 헬리를 헬리오라고 하자나, 그거 바껴서 그러는거 아님? 그리고 바뀌고 난뒤에 핑크머리가 또 이상한 짓하고 메디가 말할려고 할때 잠시 멈추는데, 그거 프시케가 ‘메데이아님이라면 어떻게 말했을까?’ 생각하고 말하는거 아님?",0,0
11,개아로스 나쁜손 치워라^^안치우면 그손을 꺾어버릴테니까^^,0,0
12,항상 느끼는건데 헬리오가 왜 불쌍한 건지 잘 모르겠음 잘 살고 있는데 왜? 프시케가 제일 딱한 처지 아닌가 내가 웹툰 대충 보긴 했는데 헬리오 관해서 감정선 따라가기가 힘듦,6,2
13,헬리ㅠㅠ 왜 없오ㅠㅠ 메디는 그런 이아로스 안 좋아해ㅠㅠ 상처 받지마ㅠㅜ,0,1
14,핑크머리 빡쳐서 방구 뀐 줄,1,0
